timestamp,problem,best_distance,optimal_distance,gap_percent,improvement_percent,total_time_s,generations,population_size,mutation_prob,crossover_prob,elitism_percent,selection_method,mutation_method,crossover_method,initial_distance,convergence_gen
1767805605.692185,ATT48,15227,10628,43.27248776815958,1.0055153369903564,1.0055480003356934,200,100,0.05,0.8,5,Rank Selection,rank_size,40,Order Crossover (OX),Swap Mutation,0
1767805606.6897082,ATT48,14949,10628,40.65675573955589,0.997485876083374,0.9975159168243408,200,100,0.05,0.8,5,Rank Selection,rank_size,40,Order Crossover (OX),Swap Mutation,1
1767805607.696257,ATT48,15092,10628,42.00225818592397,1.0065116882324219,1.0065412521362305,200,100,0.05,0.8,5,Rank Selection,rank_size,40,Order Crossover (OX),Swap Mutation,2
1767805608.7007022,ATT48,14632,10628,37.67406849830636,1.0044093132019043,1.0044372081756592,200,100,0.05,0.8,5,Rank Selection,rank_size,60,Order Crossover (OX),Swap Mutation,0
1767805609.7010875,ATT48,13138,10628,23.616861121565673,1.0003483295440674,1.0003776550292969,200,100,0.05,0.8,5,Rank Selection,rank_size,60,Order Crossover (OX),Swap Mutation,1
1767805610.6898353,ATT48,15433,10628,45.210764019570945,0.9887101650238037,0.9887399673461914,200,100,0.05,0.8,5,Rank Selection,rank_size,60,Order Crossover (OX),Swap Mutation,2
1767805611.6944883,ATT48,16612,10628,56.30410237109522,1.0046164989471436,1.004645586013794,200,100,0.05,0.8,5,Rank Selection,rank_size,80,Order Crossover (OX),Swap Mutation,0
1767805612.7068336,ATT48,16592,10628,56.11592021076402,1.0123095512390137,1.012338399887085,200,100,0.05,0.8,5,Rank Selection,rank_size,80,Order Crossover (OX),Swap Mutation,1
1767805613.717709,ATT48,17867,10628,68.11253293187805,1.010838270187378,1.0108683109283447,200,100,0.05,0.8,5,Rank Selection,rank_size,80,Order Crossover (OX),Swap Mutation,2
1767805614.7304313,ATT48,21832,10628,105.41964621753858,1.012681245803833,1.0127110481262207,200,100,0.05,0.8,5,Rank Selection,rank_size,100,Order Crossover (OX),Swap Mutation,0
1767805615.743982,ATT48,20769,10628,95.41776439593527,1.0135152339935303,1.0135443210601807,200,100,0.05,0.8,5,Rank Selection,rank_size,100,Order Crossover (OX),Swap Mutation,1
1767805616.760327,ATT48,23500,10628,121.11403838916071,1.0163090229034424,1.0163378715515137,200,100,0.05,0.8,5,Rank Selection,rank_size,100,Order Crossover (OX),Swap Mutation,2
1767805617.8004198,ATT48,13598,10628,27.945050809183293,1.0400571823120117,1.040086269378662,200,100,0.05,1.0,5,Rank Selection,rank_size,40,Order Crossover (OX),Swap Mutation,0
1767805618.848239,ATT48,14151,10628,33.14828754234099,1.0477800369262695,1.0478103160858154,200,100,0.05,1.0,5,Rank Selection,rank_size,40,Order Crossover (OX),Swap Mutation,1
1767805619.8939583,ATT48,13760,10628,29.469326307866012,1.0456807613372803,1.0457110404968262,200,100,0.05,1.0,5,Rank Selection,rank_size,40,Order Crossover (OX),Swap Mutation,2
1767805620.941502,ATT48,13244,10628,24.614226571321037,1.04750657081604,1.047537088394165,200,100,0.05,1.0,5,Rank Selection,rank_size,60,Order Crossover (OX),Swap Mutation,0
1767805621.9878776,ATT48,13366,10628,25.762137749341363,1.0463392734527588,1.0463676452636719,200,100,0.05,1.0,5,Rank Selection,rank_size,60,Order Crossover (OX),Swap Mutation,1
1767805623.0326133,ATT48,13412,10628,26.194956718103125,1.044698715209961,1.0447280406951904,200,100,0.05,1.0,5,Rank Selection,rank_size,60,Order Crossover (OX),Swap Mutation,2
1767805624.0831828,ATT48,17740,10628,66.91757621377494,1.0505294799804688,1.0505616664886475,200,100,0.05,1.0,5,Rank Selection,rank_size,80,Order Crossover (OX),Swap Mutation,0
1767805625.1341064,ATT48,19823,10628,86.51674821226948,1.050886631011963,1.0509154796600342,200,100,0.05,1.0,5,Rank Selection,rank_size,80,Order Crossover (OX),Swap Mutation,1
